date,feature_index,avg(band_0)
2023-02-02T00:00:00.000Z,11,1898.239599609375
2023-02-02T00:00:00.000Z,22,
2023-02-03T00:00:00.000Z,12,1921.2081298828125
2023-02-02T00:00:00.000Z,1,1904.4559326171875
2023-02-01T00:00:00.000Z,4,
2023-02-01T00:00:00.000Z,0,1895.40380859375
2023-02-01T00:00:00.000Z,8,1913.7635498046875
2023-02-02T00:00:00.000Z,20,
2023-02-02T00:00:00.000Z,2,1910.5152587890625
2023-02-01T00:00:00.000Z,22,
2023-02-01T00:00:00.000Z,11,1874.008056640625
2023-02-03T00:00:00.000Z,10,
2023-02-03T00:00:00.000Z,7,1913.4608764648438
2023-02-03T00:00:00.000Z,22,
2023-02-03T00:00:00.000Z,18,1906.6986999511719
2023-02-03T00:00:00.000Z,14,
2023-02-02T00:00:00.000Z,21,1911.454638671875
2023-02-03T00:00:00.000Z,8,1921.5325520833333
2023-02-03T00:00:00.000Z,1,1914.527587890625
2023-02-01T00:00:00.000Z,18,1885.2112223307292
2023-02-03T00:00:00.000Z,15,
2023-02-02T00:00:00.000Z,16,1891.8486328125
2023-02-02T00:00:00.000Z,7,1903.3233642578125
2023-02-02T00:00:00.000Z,4,
2023-02-02T00:00:00.000Z,0,1910.2568664550781
2023-02-03T00:00:00.000Z,3,1905.9267822265624
2023-02-01T00:00:00.000Z,1,1903.1861572265625
2023-02-01T00:00:00.000Z,13,1868.626318359375
2023-02-03T00:00:00.000Z,19,
2023-02-03T00:00:00.000Z,5,1906.8949381510417
2023-02-02T00:00:00.000Z,15,
2023-02-03T00:00:00.000Z,11,
2023-02-01T00:00:00.000Z,3,
2023-02-03T00:00:00.000Z,16,1890.9168701171875
2023-02-01T00:00:00.000Z,14,
2023-02-01T00:00:00.000Z,19,
2023-02-02T00:00:00.000Z,19,
2023-02-03T00:00:00.000Z,6,1932.1083984375
2023-02-03T00:00:00.000Z,4,
2023-02-03T00:00:00.000Z,21,
2023-02-01T00:00:00.000Z,7,1887.0855712890625
2023-02-01T00:00:00.000Z,9,
2023-02-02T00:00:00.000Z,8,1883.8670654296875
2023-02-02T00:00:00.000Z,14,
2023-02-02T00:00:00.000Z,5,1903.962646484375
2023-02-01T00:00:00.000Z,20,
2023-02-02T00:00:00.000Z,12,1920.9169921875
2023-02-03T00:00:00.000Z,20,
2023-02-01T00:00:00.000Z,6,1919.120849609375
2023-02-02T00:00:00.000Z,13,1880.61884765625
2023-02-01T00:00:00.000Z,5,
2023-02-02T00:00:00.000Z,17,1889.4786865234375
2023-02-01T00:00:00.000Z,2,1910.8978271484375
2023-02-02T00:00:00.000Z,18,1901.7928059895833
2023-02-01T00:00:00.000Z,15,
2023-02-03T00:00:00.000Z,0,1906.39013671875
2023-02-02T00:00:00.000Z,10,
2023-02-01T00:00:00.000Z,12,
2023-02-02T00:00:00.000Z,9,
2023-02-02T00:00:00.000Z,6,1919.0958658854167
2023-02-03T00:00:00.000Z,2,
2023-02-03T00:00:00.000Z,13,1900.569921875
2023-02-03T00:00:00.000Z,9,
2023-02-01T00:00:00.000Z,21,1899.6234375
2023-02-01T00:00:00.000Z,10,
2023-02-01T00:00:00.000Z,16,
2023-02-02T00:00:00.000Z,3,1884.330078125
2023-02-03T00:00:00.000Z,17,1895.35595703125
2023-02-01T00:00:00.000Z,17,1896.79833984375
2023-02-27T00:00:00.000Z,16,
2023-02-26T00:00:00.000Z,19,
2023-02-24T00:00:00.000Z,20,
2023-02-24T00:00:00.000Z,13,
2023-02-25T00:00:00.000Z,16,
2023-02-27T00:00:00.000Z,5,
2023-02-26T00:00:00.000Z,10,
2023-02-24T00:00:00.000Z,17,
2023-02-27T00:00:00.000Z,6,1885.3868408203125
2023-02-25T00:00:00.000Z,19,
2023-02-26T00:00:00.000Z,7,
2023-02-25T00:00:00.000Z,10,
2023-02-26T00:00:00.000Z,2,
2023-02-26T00:00:00.000Z,17,
2023-02-26T00:00:00.000Z,15,
2023-02-27T00:00:00.000Z,19,
2023-02-26T00:00:00.000Z,8,
2023-02-27T00:00:00.000Z,0,
2023-02-24T00:00:00.000Z,18,
2023-02-24T00:00:00.000Z,16,
2023-02-27T00:00:00.000Z,22,
2023-02-26T00:00:00.000Z,9,
2023-02-27T00:00:00.000Z,17,1880.5763549804688
2023-02-24T00:00:00.000Z,10,
2023-02-27T00:00:00.000Z,3,
2023-02-25T00:00:00.000Z,15,
2023-02-27T00:00:00.000Z,4,
2023-02-24T00:00:00.000Z,8,1883.6537475585938
