id,Landfill,west,south,east,north
0,ALBACETE,-1.911597292,38.88985508,-1.642102708,39.099307700000004
1,ALBOX: MANCOMUNIDAD ALMANZORA LEVANTE,-2.308715959,37.28357696588789,-2.039221375,37.49769412705605
2,ALCALA DEL RIO (LA VEGA-SEVILLA),-6.134197292,37.49242144625377,-5.864702708,37.70594153187311
3,ALCAZAR DE SAN JUAN (COMPLEJO): COMSERMANCHA,-3.359846573,39.32884905396218,-3.090351989,39.53699821301891
4,ALMERIA: CMA,-2.42149317,36.77108583681786,-2.151998586,36.986656136591066
5,CAN MATA (ELS HOSTALETS DE PIEROLA): DC,1.671640105382072,41.42997331073791,1.941134690617928,41.63171663463105
6,CANADA HERMOSA: MURCIA,-1.422826279,37.874464119702324,-1.153331695,38.08688468514883
7,DAIMIEL,-3.719344975,38.95989510457764,-3.449850391,39.16914058271118
8,ECOPARQUE DE TOLEDO: GESMAT,-4.298551292,39.757747382812326,-4.029056708,39.96461129859384
9,ECOPARQUE GRAN CANARIA NORTE (SALTO DEL NEGRO),-46.31562927,27.939845111571053,46.22579774158805,28.177664814214474
10,ECOPARQUE GRAN CANARIA SUR (JUAN GRANDE),-15.62147728,27.69291112258778,-15.35198272,27.931274348706104
11,FAMALICAO - VALOR RIB,-8.719403032,41.29643015746558,-8.449908448,41.498588731267205
12,FONTCALENT: ALICANTE (AALL),-0.726925361,38.26517951701857,-0.457430777,38.476465846490726
13,GOLMAYO,-2.638295067,41.645011635823394,-2.368800483,41.846083972088294
14,"LAS LAGUNAS, ZALLA",-3.268877752,43.089304974723674,-2.999383168,43.28579811263816
15,MILA: MENORCA,4.1257108203820705,39.814768944480406,4.395205405617928,40.021461107759805
16,ORIS,2.0749811343820723,41.974398479019925,2.3444757196179276,42.17443756549004
17,PLANALTO BEIRAO - CITERPB (CENTRO INTEGRADO DE TRATAMIENTO Y ELIMINACIï¿½N DE PLANALTO BEIRAO),-8.291623292,40.37012988679637,-8.022128708,40.57513873160182
18,PUERTOLLANO: RCDS,-4.247044283,38.55991562505551,-3.977549699,38.77033987747225
19,SANTA MARIA DE PALAUTORDERA TM: DC,2.3241094493820724,41.595964272451035,2.5936040346179277,41.797189898774484
20,UTE GIREF,1.3467538073820717,38.83682395944177,1.6162483926179283,39.04643322527912
21,VILLARRASA_UTE TRATAMIENTO HUELVA,-6.774475098,37.344249358227216,-6.504980514,37.55819334088639
22,PIEDRA NEGRA,-0.624925147,38.38570889882065,-0.355430563,38.596643370589675
23,"BUENOS ARIES, ARGENTINA LANDFILL",-58.66657639,-34.5683220900484,-58.56898317,-34.4801579229995
24,"LAHORE, PAKISTAN LANDFILL",74.40253782,31.6183089375264,74.43342977,31.6386178976544
25,"MUMBAI, INDIA LANDFILL",72.93164547,19.11265692465,72.97668903,19.1398424585049
26,"DHELI, INDIA LANDFILL",77.30141527,28.5949028053811,77.37594322,28.6674387669751
