id,Landfill,west,south,east,north
0,ALBACETE,-1.821765764,38.95967262,-1.731934236,39.02949016
1,ALBOX: MANCOMUNIDAD ALMANZORA LEVANTE,-2.218884431,37.354949352943947,-2.129052903,37.42632174
2,ALCALA DEL RIO (LA VEGA-SEVILLA),-6.044365764,37.563594808126886,-5.954534236,37.63476817
3,ALCAZAR DE SAN JUAN (COMPLEJO): COMSERMANCHA,-3.270015045,39.398232106981091,-3.180183517,39.46761516
4,ALMERIA: CMA,-2.331661642,36.842942603408929,-2.241830114,36.91479937
5,CAN MATA (ELS HOSTALETS DE PIEROLA): DC,1.761471633794024,41.497221085368949 ,1.851303162205976,41.56446886
6,CANADA HERMOSA: MURCIA,-1.332994751,37.945270974851155,-1.243163223,38.01607783
7,DAIMIEL,-3.629513447,39.029643597288825,-3.539681919,39.09939209
8,ECOPARQUE DE TOLEDO: GESMAT,-4.208719764,39.826702021406163,-4.118888236,39.89565666
9,ECOPARQUE GRAN CANARIA NORTE (SALTO DEL NEGRO),-15.46848693,28.019118345785532,15.378655405794024,28.09839158
10,ECOPARQUE GRAN CANARIA SUR (JUAN GRANDE),-15.53164576,27.772365531293886,-15.44181424,27.85181994
11,FAMALICAO - VALOR RIB,-8.629571504,41.36381634873279,-8.539739976,41.43120254
12,FONTCALENT: ALICANTE (AALL),-0.637093833,38.335608293509281,-0.547262305,38.40603707
13,GOLMAYO,-2.548463539,41.712035747911699,-2.458632011,41.77905986
14,"LAS LAGUNAS, ZALLA",-3.179046224,43.154802687361844,-3.089214696,43.2203004
15,MILA: MENORCA,4.215542348794023,39.883666332240203,4.305373877205976,39.95256372
16,ORIS,2.164812662794024,42.041078174509956,2.254644191205976,42.10775787
17,PLANALTO BEIRAO - CITERPB (CENTRO INTEGRADO DE TRATAMIENTO Y ELIMINACIï¿½N DE PLANALTO BEIRAO),-8.201791764,40.438466168398186,-8.111960236,40.50680245
18,PUERTOLLANO: RCDS,-4.157212755,38.630057042527746,-4.067381227,38.70019846
19,SANTA MARIA DE PALAUTORDERA TM: DC,2.413940977794024,41.663039481225518,2.503772506205976,41.73011469
20,UTE GIREF,1.436585335794024,38.906693714720888,1.526416864205976,38.97656347
21,VILLARRASA_UTE TRATAMIENTO HUELVA,-6.68464357,37.415564019113596,-6.594812042,37.48687868
22,PIEDRA NEGRA,-0.535093619,38.456020389410327,-0.445262091,38.52633188
23,TEST_LANDFILL Pinto biometanización (NOT-PREZERO),-3.681574881,40.24189276881965,-3.617592543,40.27562363140764
